state,statefip,cbsa,cbsacode,metpop10,cbsacity,cbsacitypop,pumaname,pumanum,pumapop,pumacity,pumacitypop,geodensity,simpledensity,princity,princitypop,altmetro
GA,13,"Dalton, GA",19140,142227,Dalton,34417,"Northwest Georgia Regional Commission (North Central)--Whitfield County PUMA, Georgia",2700,104122,Dalton,34417,547,359,Dalton,34417,2 Town
GA,13,"Calhoun, GA",15660,117284,Calhoun,16949,"Northwest Georgia Regional Commission (Northeast) PUMA, Georgia",2800,186330,Calhoun,16949,150,105,Calhoun,16949,1 Rural
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Northwest Georgia Regional Commission (East Central)--Bartow County PUMA, Georgia",2900,106456,Cartersville,23187,311,228,No Principal City,,2 Town
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Northwest)--Cobb County (Central)--Marietta City PUMA, Georgia",3001,151899,Marietta,60972,2851,2687,Marietta,60972,3 Small City
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission--Cobb County (Northwest)--Kennesaw & Acworth Cities PUMA, Georgia",3002,138315,Kennesaw,33036,2180,2062,No Principal City,,2 Town
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Northwest)--Cobb County (Southwest)--Powder Springs City PUMA, Georgia",3003,137827,Powder Springs,16887,1455,1549,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Northwest)--Cobb County (Southeast)--Smyrna City PUMA, Georgia",3004,175857,Smyrna,55663,2596,2765,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission (Northwest)--Cobb County (Northeast) PUMA, Georgia",3005,152755,East Cobb,175890,2260,2308,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission--Cherokee County (Central)--Woodstock & Canton Cities PUMA, Georgia",3101,121913,Woodstock,35065,1343,1340,Atlanta,498715,4 Satellite
GA,13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,5286728,Atlanta,498715,"Atlanta Regional Commission--Cherokee County (Outside Woodstock & Canton Cities) PUMA, Georgia",3102,131867,Holly Springs,16213,543,389,Atlanta,498715,4 Satellite
